email,first_name,last_name,company_name,description,end_date,goal
avincent@live.com,Angelo,Vincent,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
harnold@yandex.com,Hubert,Arnold,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
lgoulet@yandex.com,Loris,Goulet,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
calvarado@yandex.com,Carlie,Alvarado,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
lhuber@live.com,Lambert,Huber,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
emorin@live.com,Emmy,Morin,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
atrani@live.com,Armonda,Trani,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
iduke@outlook.com,Ilana,Duke,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
lwright@live.com,Leigha,Wright,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
ubecker@yahoo.com,Uwe,Becker,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
haudy@gmail.com,Hawa,Audy,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
bbonura@yahoo.com,Bia,Bonura,Parker PLC,Reduced interactive matrix,2021-07-21,72100.00
mgarner@protonmail.com,Michel,Garner,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
abonadonna@yandex.com,Alcina,Bonadonna,Rush-Bowers,Persevering analyzing extranet,2021-12-26,189500.00
respinoza@outlook.com,Raelene,Espinoza,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
knash@protonmail.com,Kati,Nash,Parker PLC,Reduced interactive matrix,2021-07-21,72100.00
gjager@yahoo.com,Georg,Jager,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
alapalme@yandex.com,Anae,Lapalme,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
vpaolella@gmail.com,Virgilio,Paolella,Willis and Sons,Fundamental incremental database,2021-06-16,93800.00
javila@protonmail.com,Jerrica,Avila,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
gachterberg@live.com,Gianni,Achterberg,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
tdion@gmail.com,Timoteo,Dion,Rush-Bowers,Persevering analyzing extranet,2021-12-26,189500.00
tverno@yandex.com,Teodoro,Verno,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
mwaller@protonmail.com,Morris,Waller,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
tauer@yahoo.com,Trilby,Auer,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
tjodoin@yandex.com,Theola,Jodoin,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
wwalton@protonmail.com,Wanda,Walton,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
jgill@yahoo.com,Justine,Gill,Wiggins Ltd,Upgradable analyzing core,2021-11-24,9900.00
mbergmann@protonmail.com,Marinella,Bergmann,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
jdoyle@gmail.com,Julee,Doyle,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
ldeliso@gmail.com,Lisbeth,Deliso,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
cvaldez@gmail.com,Carl,Valdez,Foley-Cox,Progressive zero administration leverage,2022-01-13,153700.00
kbutler@yahoo.com,Kelyan,Butler,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
dweber@live.com,Donat,Weber,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
adelorme@outlook.com,Alethia,Delorme,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
dbernardi@yandex.com,Darrell,Bernardi,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
creeves@gmail.com,Carina,Reeves,Parker PLC,Reduced interactive matrix,2021-07-21,72100.00
mruiz@outlook.com,Marvin,Ruiz,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
mduerr@live.com,Mariabella,Duerr,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
jricco@live.com,Jeni,Ricco,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
rmitchell@yandex.com,Rigoberto,Mitchell,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
ngensch@yandex.com,Nesrine,Gensch,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
tlejeune@outlook.com,Tullio,Lejeune,Foley-Cox,Progressive zero administration leverage,2022-01-13,153700.00
mwest@live.com,Maryrose,West,Rush-Bowers,Persevering analyzing extranet,2021-12-26,189500.00
imays@yandex.com,Irina,Mays,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
mbrose@protonmail.com,Marcelo,Brose,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
nacierno@live.com,Nery,Acierno,Warren Ltd,Distributed system-worthy application,2021-09-21,194500.00
zgardner@yahoo.com,Zack,Gardner,Mcmillan Group,Advanced cohesive Graphic Interface,2021-12-29,153700.00
njenkins@protonmail.com,Nour,Jenkins,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
abraun@live.com,Aloysius,Braun,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
aferre@gmail.com,Amos,Ferre,Berry-Richardson,Automated zero tolerance implementation,2021-05-29,186700.00
aramsey@yahoo.com,Alegra,Ramsey,Nunez-Richards,Exclusive attitude-oriented intranet,2021-03-10,110100.00
